관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
11590-00052,비둘기,어린이공원,,서울특별시 동작구 상도1동 558,37.505903,126.9517486,2114.7,,,,,,1963-04-26,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00051,까막골,소공원,,서울특별시 동작구 흑석동 231-31,37.5045058,126.9605347,1420.1,,,,,,2008-09-11,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00050,새빛,소공원,,서울특별시 동작구 사당동 164-1,37.48733571,126.9744112,1680,,,,,,2009-02-05,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00049,꿈나래,어린이공원,,서울특별시 동작구 상도동 36-1,37.5052677,126.9481801,1720.2,,,,,,2007-09-27,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00048,칸나,소공원,서울특별시 동작구 시흥대로596,서울특별시 동작구 신대방동 698,37.48562691,126.9043083,241,,,,,,2012-09-06,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00047,흑석,소공원,,서울특별시 동작구 흑석동 186-135,37.50916104,126.957863,442,,,,,,2012-05-17,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00046,꽃담길,소공원,,서울특별시 동작구 상도동 25-8,37.505644,126.942102,206,,,,,,2012-05-02,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00045,나비,소공원,,서울특별시 동작구 상도동 535-3,37.50334639,126.943593,564.1,,,,,,2012-01-12,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00044,영도,소공원,,서울특별시 동작구 상도동 535-6,37.50338581,126.9411913,1737,,,,,,2012-01-12,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00043,해밀,어린이공원,,서울특별시 동작구 사당동 1157-1,37.48852684,126.9744312,2392,,,,,,2010-04-01,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00042,까망돌,어린이공원,,서울특별시 동작구 흑석동 335-10,37.506578,126.964102,1904.5,,,,,,2008-09-11,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00041,흐리목,소공원,,서울특별시 동작구 상도동 531-2,37.49448602,126.9530398,1869.7,,,,,,2007-11-15,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00040,국화원,소공원,"서울특별시 동작구 상도로30길 39(상도동, 상도두산위브아파트)",서울특별시 동작구 상도동 529-1 상도두산위브아파트,37.50479617,126.942298,757,,,,,,2007-11-08,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00039,빙수골,소공원,,서울특별시 동작구 상도동 296-6,37.49668291,126.932279,822,,,,,,2007-10-04,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00038,꿈나무,어린이공원,,서울특별시 동작구 상도동 521-1,37.50329035,126.9427329,1500,,,,,,2007-09-13,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00037,충효,소공원,,서울특별시 동작구 본동 494-9,37.51401526,126.950109,1081.8,,,,,,2007-03-02,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00036,남성,소공원,,서울특별시 동작구 사당동 1131-17(영아),37.48499215,126.9721592,924.1,,,,,,2006-03-23,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00035,희망,어린이공원,,서울특별시 동작구 동작동 333-3,37.49388882,126.9801298,2654.3,,,,,,2006-03-16,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00034,서달,소공원,,서울특별시 동작구 흑석동 339-4,37.50115916,126.9599134,254.8,,,,,,2005-12-29,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00033,태양,어린이공원,,서울특별시 동작구 상도동 527-1외 2,37.506795,126.944663,1514.5,,,,,,2005-03-24,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00032,비계,소공원,,서울특별시 동작구 흑석동 335-7,37.505468,126.966378,298.4,,,,,,2003-12-30,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00031,해당화,어린이공원,,서울특별시 동작구 신대방동 719-3,37.48687458,126.905905,374,,,,,,2002-11-11,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00030,청명,어린이공원,,서울특별시 동작구 신대방동 719-1,37.487572,126.9080022,1024,,,,,,2002-11-11,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00029,개나리,어린이공원,,서울특별시 동작구 사당동 1138-1,37.48622359,126.965684,454,,,,,,1997-04-01,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00028,본동,어린이공원,,서울특별시 동작구 본동 483,37.51062857,126.9544535,2195.5,,,,,,1996-01-05,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00027,늘푸른,어린이공원,,서울특별시 동작구 사당동 산32-76,37.48244858,126.9690493,1503,,,,,,1984-11-20,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00026,반달,어린이공원,,서울특별시 동작구 사당동 233-12,37.48355007,126.967932,182,,,,,,1981-05-05,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00025,샛별,어린이공원,,서울특별시 동작구 사당동 1144,37.48740186,126.965401,344.7,,,,,,1981-05-05,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00024,동작주차,근린공원,,서울특별시 동작구 동작동 326외 1,37.503828,126.977294,42220,,,,,,1981-04-29,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00023,옹달샘,어린이공원,,서울특별시 동작구 상도동 299-193,37.49518283,126.929617,445,,,,,,1980-05-03,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00022,새벽,어린이공원,서울특별시 동작구 상도로13길11,서울특별시 동작구 상도동 335-141,37.50092249,126.930155,496,,,,,,1979-11-30,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00021,양지,어린이공원,,서울특별시 동작구 사당동 316-37,37.4798868,126.974021,568,,,,,,1979-10-28,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00020,참새,어린이공원,,서울특별시 동작구 대방동 414-29 외 5,37.498336,126.921885,2982.7,,,,,,1977-12-09,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
