개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3100000,1.99831E+18,1998-12-31,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-931-4825,7863.67,139-748   ,서울특별시 노원구 상계동 173번지,서울특별시 노원구 한글비석로 396 (상계동),     ,상계역전종합상가,2026-04-27 13:37,U,2026-04-28 3:03,쇼핑센터,206280.7899,462002.499,대규모점포
3080000,2.00631E+18,2006-12-14,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-944-2500,45651.37,          ,서울특별시 강북구 미아동 70번지 6   호,서울특별시 강북구 도봉로 62 (미아동),     ,롯데백화점 미아점,2026-04-21 13:22,I,2026-04-30 22:35,복합쇼핑몰,202625.6463,456875.974,대규모점포
3010000,2.0163E+18,2016-10-07,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2236-8543,251.57,          ,,서울특별시 중구 다산로 222 (신당동),4586,홈플러스익스프레스 신당점,2024-03-22 9:36,I,2026-03-26 22:48,구분없음,201308.5365,451174.3655,준대규모점포
3100000,1.99931E+18,2001-12-07,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-986-2080,12840,139-926   ,서울특별시 노원구 중계동 509번지 2호,서울특별시 노원구 동일로204가길 12 (중계동),     ,홈플러스(주) 중계점,2025-08-24 8:48,I,2025-12-15 16:15,대형마트,205985.9533,459730.4378,대규모점포
3150000,2.00032E+18,2000-10-06,          ,2,휴업,2,휴업처리,          ,          ,          ,          ,02-3664-9400,0,          ,서울특별시 강서구 가양동 18번지 24호,,     ,(주)이랜드리테일홈에버가양점,2007-07-14 13:55,I,2025-12-15 16:15,쇼핑센터,186687.1318,451342.7735,
3050000,2.00531E+18,2005-04-29,          ,4,취소/말소/만료/정지/중지,4,직권취소,          ,          ,          ,          ,02-2215-1000,1461,          ,서울특별시 동대문구 장안동 368번지 1호,,     ,바우하우스,2014-10-29 16:24,I,2025-12-15 16:15,대형마트,206325.3494,452184.2102,대규모점포
3080000,2.00731E+18,2007-05-17,          ,2,휴업,2,휴업처리,          ,          ,          ,          ,02-986-7000,3553.11,          ,서울특별시 강북구 미아동 35번지 4   호 도봉로32,,     ,트레지오,2007-06-30 10:46,I,2026-04-30 22:35,쇼핑센터,                    ,                    ,
3230000,2.02632E+18,2026-05-19,          ,1,영업/정상,5,영업개시전,          ,          ,          ,          ,02-2006-2364,222.35,          ,서울특별시 송파구 장지동 842-1 1층 105~110호,"서울특별시 송파구 충민로 90, 1층 105~110호 (장지동)",5815,GS THE FRESH 송파장지역점,2026-05-19 16:51,I,2026-05-20 22:18,구분없음,211199.0279,441919.7943,준대규모점포
3060000,2.01431E+18,1971-12-10,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-439-0026,1558.54,          ,,서울특별시 중랑구 면목로74길 45 (면목동),     ,동원,2014-03-18 17:25,I,2025-12-15 16:15,시장,207869.6056,454173.3134,대규모점포
3010000,2.0143E+18,1976-11-02,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-6365-5959,9316.94,          ,,서울특별시 중구 남대문로 30 (남창동),     ,굳앤굳 디자이너월드,2019-04-08 15:14,I,2026-03-26 22:48,그 밖의 대규모점포,198095.7952,450940.1084,대규모점포
3010000,2.0143E+18,1968-07-30,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,22659611,19023.64,          ,,서울특별시 중구 장충단로13길 34 (을지로6가),     ,동화상가,2016-03-28 15:58,I,2026-03-26 22:48,그 밖의 대규모점포,200541.6377,451814.4595,대규모점포
3010000,2.0143E+18,1996-07-05,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-6366-3056,21527.19,          ,,서울특별시 중구 을지로45길 62 (신당동),     ,누죤,2025-02-25 9:09,I,2026-03-26 22:48,그 밖의 대규모점포,201058.6788,451656.8111,대규모점포
3010000,2.0143E+18,1999-01-05,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-3396-1657,15695.63,          ,,서울특별시 중구 장충단로 275 (을지로6가),     ,두타몰,2025-04-21 13:58,I,2026-03-26 22:48,그 밖의 대규모점포,200703.6256,451836.4583,대규모점포
3010000,2.0143E+18,1985-11-28,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-756-7536,13793.3,          ,,서울특별시 중구 남대문시장8길 7 (남창동),     ,삼익패션타운,2025-04-28 17:31,I,2026-03-26 22:48,그 밖의 대규모점포,198073.0636,450876.7294,대규모점포
