시설명,도로명주소,경도,위도
그레이호텔,서울 강남구 선릉로90길 46,127.052904526186,37.5049110369099
사월호텔,서울 강남구 언주로89길 13,127.04184408938349,37.50166734759042
더호텔1997,서울 강남구 테헤란로2길 37,127.029989711359,37.4958594613033
녹스부띠끄호텔,서울 강남구 테헤란로37길 13-13,127.03977391822217,37.50269611028678
인트로호텔,서울 강남구 테헤란로37길 13-11,127.039926619133,37.5027420100625
성심모텔,서울 강남구 테헤란로34길 10,127.040092955281,37.5007921771787
타라호텔,서울 강남구 선릉로100길 56,127.051885630429,37.5067017860543
호텔예스,서울 강남구 언주로87길 23,127.041151688776,37.5011630275466
CF모텔,서울 강남구 언주로85길 10,127.042296226045,37.5012563279081
XYM프리미어호텔,서울 강남구 테헤란로28길 3-12,127.0396520241311,37.50102478553413
호텔 디 아티스트 역삼점,서울 강남구 테헤란로29길 11,127.03848223739053,37.50240190927114
바레,서울 강남구 테헤란로34길 9,127.04038819745999,37.500931732527135
프린세스호텔,서울 강남구 압구정로46길 17,127.03664990126077,37.52738372333095
호텔마리,서울 강남구 언주로87길 10,127.04210417592938,37.501622204886274
어반네스트호텔,서울 강남구 선릉로92길 41,127.05194644266916,37.50632423821841
브라운도트 역삼점,서울 강남구 테헤란로37길 13-5,127.040286312865,37.5028455035909
렉시호텔,서울 강남구 테헤란로16길 11,127.03398401702526,37.498798363998404
아마레호텔,서울 강남구 논현로 328,127.04021520083431,37.49466619301067
호텔벤,서울 강남구 언주로87길 41,127.0399040490717,37.500708447587094
648호텔,서울 강남구 강남대로94길 56-4,127.03186863458268,37.49995224151424
리츠호텔,서울 강남구 도산대로1길 61,127.01896810657,37.5207060526959
호텔하이랜드,서울 강남구 도산대로 166,127.026786320484,37.5187475596591
호텔린,서울 강남구 언주로87길 50,127.03913842011,37.5006987926638
왈츠모텔,서울 강남구 강남대로112길 20,127.026066812534,37.5055137702698
멜리샤호텔,서울 강남구 테헤란로2길 15,127.02937281082282,37.49722464133762
캠퍼스호텔,서울 강남구 테헤란로2길 13,127.029212258655,37.4972994646882
심플원룸텔 삼성병원점,서울 강남구 일원로9길 48,127.085485868838,37.4903434042557
호텔야자 강남논현점,서울 강남구 봉은사로37길 6,127.03725157690359,37.50881565890693
루미에르호텔,서울 강남구 테헤란로28길 3-6,127.03910119463282,37.500879907180014
호텔캘리포니아,서울 강남구 선릉로100길 52,127.05144903905901,37.50666323380119
호텔스타,서울 강남구 선릉로92길 8,127.04939199204743,37.505304495097036
올인모텔,서울 강남구 학동로53길 3-4,127.039934358072,37.5172698046275
애인호텔,서울 강남구 압구정로2길 2,127.019133421315,37.5213259160257
