시설명,도로명주소,경도,위도
준코뮤직타운 역삼점,서울 강남구 강남대로78길 12,127.030355699568,37.4948664583401
준코뮤직타운 신사점,서울 강남구 도산대로 123,127.021912819888,37.5174439115221
도파민,서울 강남구 선릉로92길 38,127.05183314545715,37.506037768370284
강남달토 가라오케 런닝래빗,서울 강남구 봉은사로 150,127.031156374836,37.5058873556936
라틴바,서울 강남구 테헤란로6길 9,127.030838718362,37.4980036383503
꽃자바,서울 강남구 테헤란로28길 5,127.038822943848,37.500788997359
서울여자 트랜스젠더바,서울 강남구 테헤란로2길 36,127.029559983929,37.4958325394153
애플,서울 강남구 언주로87길 24,127.041029624075,37.5012982208869
킹스맨,서울 강남구 테헤란로33길 8,127.039622256541,37.5024763158689
레이스,서울 강남구 역삼로 113,127.031638667886,37.4936551683431
레이블,서울 강남구 도산대로 205,127.028780132248,37.5205031456861
세븐,서울 강남구 언주로87길 48,127.03931941192103,37.50078793215028
CNN,서울 강남구 테헤란로77길 9,127.05442273163644,37.50707996749827
오스카,서울 강남구 언주로 548,127.040427717817,37.507109913389
스테이,서울 강남구 테헤란로6길 10,127.030389695937,37.4978343655003
썸데이,서울 강남구 강남대로 354,127.029733663226,37.4946494738731
째즈,서울 강남구 테헤란로39길 75,127.039030872584,37.5070022625945
멀리건,서울 강남구 언주로 640,127.035867404916,37.513977040155
개구쟁이,서울 강남구 테헤란로2길 34,127.029501225967,37.4959478829635
어게인가라오케,서울 강남구 테헤란로69길 8,127.0528479435885,37.50646709814149
엘리트,서울 강남구 테헤란로70길 16,127.053296610822,37.504401792652
인트로 가라오케,서울 강남구 도산대로 205,127.0287801322484,37.52050314569288
블렌딩&에어링,서울 강남구 테헤란로 111,127.029260384565,37.4989140562121
하모니,서울 강남구 테헤란로33길 6-7,127.040096197571,37.5026257228881
세이렌,서울 강남구 테헤란로 411,127.050863520523,37.5054939827386
텐프로,서울 강남구 테헤란로37길 13-7,127.040098558223,37.5028104282527
라이언,서울 강남구 테헤란로69길 16,127.052564392782,37.5069357472593
강남7080라이브 강남대관,서울 강남구 강남대로62길 28,127.03384351614486,37.490677629240004
텐프로노래방,서울 강남구 봉은사로112길 16,127.064907375061,37.5138961757929
강남 플러팅,서울 강남구 강남대로 320,127.031048774936,37.4918533104497
라이징,서울 강남구 논현로87길 41,127.033519241917,37.4988336360319
골드코스트,서울 강남구 테헤란로27길 8-4,127.038428893322,37.5020307122671
퀄리티,서울 강남구 도산대로 217,127.030560781892,37.5208270594325
타임즈,서울 강남구 도산대로 535,127.051875741946,37.5250966798574
비일일,서울 강남구 역삼로3길 11,127.03117641996586,37.49425536190424
뮤즈,서울 강남구 강남대로94길 54,127.031733048777,37.5002396989513
다소다,서울 강남구 테헤란로22길 9,127.035238417598,37.4993449072515
블루문,서울 강남구 테헤란로77길 6,127.05490666938114,37.50690044356169
퍼펙트,서울 강남구 논현로 645,127.03141303622058,37.511113115505054
클럽잭리빈,서울 강남구 강남대로 588,127.020531962753,37.514368133073
임펙트,서울 강남구 테헤란로20길 9,127.03453267162996,37.49918653857931
E7,서울 강남구 테헤란로77길 11-10,127.053624241288,37.5070767286613
미술관,서울 강남구 강남대로94길 54,127.031733048777,37.5002396989442
아이디,서울 강남구 도산대로 331,127.038121917478,37.5232963113786
애플노래타운,서울 강남구 강남대로118길 40,127.026515234802,37.5070814194057
준코뮤직타운 길동점,서울 강동구 천호대로 1135,127.13780221033,37.5345999140675
준코뮤직타운 천호로데오점,서울 강동구 천호대로 1027,127.12658329690092,37.53807952024413
은성노래주점,서울 강동구 천중로40길 78,127.13743896784638,37.53765112311221
포텐노래타운,서울 강동구 천호대로157길 15,127.126878193112,37.5385008716306
비너스,서울 강동구 천중로40길 55,127.138087878359,37.538580197709
키스노래주점,서울 강동구 천중로40길 71,127.137953112715,37.5379010015285
황제,서울 강동구 천호대로177길 16,127.137821228237,37.5350972439395
필라이브7080,서울 강동구 성안로 72,127.13198644783438,37.52994928520494
파라다이스,서울 강동구 양재대로111길 28,127.13813452900993,37.53749443860506
별이빛나는밤에7080,서울 강동구 천호대로176길 10,127.13616512236139,37.53401796486026
라이브행복7080,서울 강동구 양재대로113길 7,127.139391369114,37.5379876105768
눈사람노래주점,서울 강동구 천호대로175길 58,127.137844530552,37.5373073695233
미주노래주점,서울 강동구 천호대로177길 51,127.137972625099,37.5368233830531
첼로2,서울 강동구 천호대로175길 21,127.13665805797945,37.535681542711174
만남7080,서울 강동구 진황도로 53,127.13283432565954,37.537885246312314
꿀단지노래주점,서울 강동구 천호대로177길 34,127.137963104812,37.5359548302904
벌떼미인클럽,서울 강동구 진황도로 96,127.136835997303,37.5358480216634
애플노래주점,서울 강동구 양재대로111길 32,127.13792855867904,37.53747035236117
로데오포차7080,서울 강동구 천호대로159길 25,127.12776677732663,37.538720658485765
무지개7080,서울 강동구 양재대로 1457,127.139046934821,37.5359076081314
비틀즈,서울 강동구 올림픽로98길 10,127.128685385429,37.5511390266196
