정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB123000289,가락시장역4번출구.제일오피스텔,37.4932333,127.1198,2025-10-31,24380,11,서울특별시,경기BIS
GGB123000291,경찰병원.서울동부고용노동지청,37.4944167,127.1227,2025-10-31,24382,11,서울특별시,경기BIS
GGB123000294,가락시장.가락시장역,37.4938333,127.1171833,2025-10-31,24385,11,서울특별시,경기BIS
GGB123000295,가락시장.가락몰,37.4918833,127.11585,2025-10-31,24386,11,서울특별시,경기BIS
GGB123000296,가락시장남문,37.4907833,127.1123667,2025-10-31,24387,11,서울특별시,경기BIS
GGB123000297,가락시장.헬리오시티,37.4944167,127.1052667,2025-10-31,24388,11,서울특별시,경기BIS
GGB123000298,가락시장.헬리오시티,37.4952167,127.1062333,2025-10-31,24389,11,서울특별시,경기BIS
GGB123000299,가락1동주민센터,37.4963167,127.1098333,2025-10-31,24390,11,서울특별시,경기BIS
GGB123000300,서울방이동고분군,37.50825,127.1161833,2025-10-31,24391,11,서울특별시,경기BIS
GGB123000305,몽촌토성역.한성백제역,37.5168667,127.1134833,2025-10-31,24396,11,서울특별시,경기BIS
GGB123000311,송파파크센트럴,37.49275,127.1494833,2025-10-31,24402,11,서울특별시,경기BIS
GGB123000312,거여역7번출구,37.4926167,127.144,2025-10-31,24403,11,서울특별시,경기BIS
GGB123000313,거여역6번출구,37.4918333,127.1440667,2025-10-31,24404,11,서울특별시,경기BIS
GGB123000316,복정역환승센터1번승강장,37.4700333,127.1272167,2025-10-31,24407,11,서울특별시,경기BIS
GGB123000317,오륜사거리,37.5054333,127.13925,2025-10-31,24408,11,서울특별시,경기BIS
GGB123000318,오륜사거리,37.5062167,127.1392167,2025-10-31,24409,11,서울특별시,경기BIS
GGB123000319,복정역,37.47015,127.1258,2025-10-31,24499,11,서울특별시,경기BIS
GGB123000329,복정역2번출구,37.4691667,127.1268667,2025-10-31,24420,11,서울특별시,경기BIS
GGB123000337,남한산성입구,37.4909167,127.1573167,2025-10-31,24429,11,서울특별시,경기BIS
GGB123000342,풍납중학교앞,37.5248167,127.1152,2025-10-31,24434,11,서울특별시,경기BIS
GGB123000343,복정역3번출구,37.4697167,127.12405,2025-10-31,24435,11,서울특별시,경기BIS
GGB123000344,새마을시장,37.5089667,127.0866,2025-10-31,24436,11,서울특별시,경기BIS
GGB123000345,잠실트리지움,37.5076333,127.08935,2025-10-31,24437,11,서울특별시,경기BIS
GGB123000346,삼전역.잠실현대아파트,37.5037667,127.0872667,2025-10-31,24438,11,서울특별시,경기BIS
GGB123000352,가락시장역5번출구,37.4928,127.1197333,2025-10-31,24444,11,서울특별시,경기BIS
GGB123000353,올림픽대교남단교차로,37.5251333,127.1168,2025-10-31,24445,11,서울특별시,경기BIS
GGB123000366,잠실새내역2번출구,37.5104667,127.0860667,2025-10-31,24458,11,서울특별시,경기BIS
GGB123000367,가락래미안앞,37.4992,127.1323833,2025-10-31,24459,11,서울특별시,경기BIS
GGB123000376,풍납현대아파트,37.5288,127.1193667,2025-10-31,24468,11,서울특별시,경기BIS
GGB123000377,문정3차푸르지오아파트.송파파인타운1단지,37.4867167,127.13355,2025-10-31,24469,11,서울특별시,경기BIS
GGB123000378,문정3차푸르지오아파트.송파파인타운1단지,37.4865333,127.1333667,2025-10-31,24470,11,서울특별시,경기BIS
GGB123000436,복정역환승주차장,37.4707,127.1281333,2025-10-31,24658,11,서울특별시,경기BIS
GGB123000507,잠실대교전망쉼터,37.5200833,127.0950667,2025-10-31,24479,11,서울특별시,경기BIS
GGB123000508,잠실대교전망쉼터,37.5199833,127.0947833,2025-10-31,24480,11,서울특별시,경기BIS
GGB123000511,잠실역,37.5147,127.0991833,2025-10-31,24998,11,서울특별시,경기BIS
GGB123000512,장지역,37.4780833,127.1261667,2025-10-31,24801,11,서울특별시,경기BIS
GGB123000517,호수임광아파트,37.5114167,127.1072167,2025-10-31,24486,11,서울특별시,경기BIS
GGB123000518,호수임광아파트,37.5106833,127.1067,2025-10-31,24485,11,서울특별시,경기BIS
GGB123000519,미켈란호수가아파트,37.5081667,127.1029,2025-10-31,24484,11,서울특별시,경기BIS
GGB123000520,미켈란호수가아파트,37.5077167,127.1026333,2025-10-31,24483,11,서울특별시,경기BIS
GGB123000521,석촌호수서호사거리,37.5066167,127.099,2025-10-31,24482,11,서울특별시,경기BIS
GGB123000522,석촌호수서호사거리,37.5063333,127.0982167,2025-10-31,24481,11,서울특별시,경기BIS
GGB123000565,파크데일아파트1단지앞,37.4982167,127.1578333,2025-10-31,24104,11,서울특별시,경기BIS
GGB123000566,파크데일아파트2단지앞,37.4979833,127.1579333,2025-10-31,24103,11,서울특별시,경기BIS
GGB123000567,파크데일아파트입구,37.4976,127.1546167,2025-10-31,24491,11,서울특별시,경기BIS
GGB123000573,송파더센트레.송례중앞,37.4782,127.1407,2025-10-31,24494,11,서울특별시,경기BIS
GGB123000574,송파더센트레.송례초앞,37.4784667,127.1391333,2025-10-31,24493,11,서울특별시,경기BIS
GGB123000575,송파꿈에그린아파트,37.475,127.1407167,2025-10-31,24495,11,서울특별시,경기BIS
GGB123000576,위례아이파크아파트앞,37.4757167,127.1411333,2025-10-31,24492,11,서울특별시,경기BIS
GGB123000577,송파푸르지오시티.한화오벨리스크,37.4808,127.1203167,2025-10-31,24497,11,서울특별시,경기BIS
GGB123000578,송파푸르지오시티.한화오벨리스크,37.4808333,127.11985,2025-10-31,24496,11,서울특별시,경기BIS
GGB123000579,잠실역.롯데월드몰(중),37.5126167,127.1008,2025-10-31,24017,11,서울특별시,경기BIS
GGB123000580,파크데일아파트입구,37.4977833,127.15475,2025-10-31,24498,11,서울특별시,경기BIS
